file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\LiTiaotiao-Custom-Rules\_source\ExportRules\src\Main.java,Main$FilenameFilterEqual,FilenameFilterEqual/1[java.lang.String],true,414,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\LiTiaotiao-Custom-Rules\_source\ExportRules\src\Main.java,Main$FilenameFilterEqual,"accept/2[java.io.File,java.lang.String]",false,418,0,0,0,0,1,1,3,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\LiTiaotiao-Custom-Rules\_source\ExportRules\src\Main.java,Main,getPackageCustomRulesMdDirPathList/1[java.io.File],false,258,1,2,1,1,3,5,10,1,2,1,5,1,1,1,0,0,0,0,0,2,0,2,0,0,0,12,9,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\LiTiaotiao-Custom-Rules\_source\ExportRules\src\Main.java,Main,readCustomRules/1[java.lang.String],false,283,0,1,1,0,28,16,89,1,18,1,16,0,0,1,1,1,1,27,9,39,5,4,0,0,0,46,9,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\LiTiaotiao-Custom-Rules\_source\ExportRules\src\Main.java,Main,"writeAppList/3[java.util.HashMap<java.lang.String,java.util.ArrayList<java.lang.String>>,java.lang.String,java.lang.String]",false,59,0,1,1,0,10,11,48,0,13,3,11,0,0,1,0,1,0,32,8,18,7,4,0,0,0,32,10,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\LiTiaotiao-Custom-Rules\_source\ExportRules\src\Main.java,Main,"writeAppListPrefix/2[java.util.HashMap<java.lang.String,java.util.ArrayList<java.lang.String>>,java.lang.String]",false,116,0,1,1,0,17,15,75,0,20,2,15,0,0,7,0,1,1,59,10,20,14,5,0,0,0,31,10,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\LiTiaotiao-Custom-Rules\_source\ExportRules\src\Main.java,Main,getPackageCustomRulesMdFilePath/1[java.io.File],false,274,1,2,1,1,2,2,7,2,1,1,2,0,0,0,1,0,0,1,2,1,0,1,0,0,0,14,9,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\LiTiaotiao-Custom-Rules\_source\ExportRules\src\Main.java,Main,main/1[java.lang.String[]],false,9,1,5,0,5,3,21,27,0,11,1,21,5,3,2,0,0,0,11,10,11,6,1,0,0,0,34,9,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\LiTiaotiao-Custom-Rules\_source\ExportRules\src\Main.java,Main,"writeCustomRulesJson/3[java.util.HashMap<java.lang.String,java.util.ArrayList<java.lang.String>>,java.lang.String,int]",false,203,0,1,1,0,5,8,31,0,5,3,8,0,0,1,1,1,0,8,2,5,1,3,0,0,0,21,10,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\LiTiaotiao-Custom-Rules\_source\ExportRules\src\Main.java,Main,getPackageCustomRulesMdFilePathList/1[java.lang.String],false,236,1,2,1,1,3,4,17,1,5,1,4,1,2,2,0,0,1,5,2,5,6,1,0,0,0,15,9,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\LiTiaotiao-Custom-Rules\_source\ExportRules\src\Main.java,Main$FilenameFilterEndWidth,"accept/2[java.io.File,java.lang.String]",false,406,0,0,0,0,1,1,3,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\LiTiaotiao-Custom-Rules\_source\ExportRules\src\Main.java,Main$FilenameFilterEndWidth,FilenameFilterEndWidth/1[java.lang.String],true,402,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,false
